20110401_1000mercis_14461469_html.msg,"From: ""Darty"" <infos@contact-darty.com>
","To: 1000mercis@cp.assurance.returnpath.net
","Subject: Cuit Vapeur 29.90 euros, Nintendo 3DS 239 euros, GPS TOM TOM 139 euros... decouvrez VITE tous les bons plans du weekend !
",0
20110401_compostmarketingab_14459379_multialt.msg,"From: {CARMA TEST} Test <from@test.carmamail.com>
","To: compostmarketingab@cp.monitor1.returnpath.net
","Subject: ComHem Senaste Nyheterna
",0
20110401_aamarketinginc_14456749_html.msg,"From: MindsPay<survey@mindspaymails.com> 
","To: aamarketinginc@cp.monitor1.returnpath.net
","Subject:Paid Mail : Offer #10491 get $4.00
",0
20110401_boydgamingcorporation_14465279_multialt.msg,"To: Lisa Marshall <boydgamingcorporation@cp.assurance.returnpath.net>
","From: Suncoast Hotel & Casino - Las Vegas <suncoast@boydgaming.net>
","Subject: See What's Happening with our Table Games!
",0
20110401_beliefnet_14461399_html.msg,"From: Announce - Beliefnet Sponsor <specialoffers@mail.beliefnet.com>
","To:  <beliefnet@cp.monitor1.returnpath.net>
","Subject: [SP] Grant Funding May Be Available for Top Online Colleges. Get
",0
20110401_beliefnet_14464159_html.msg,"From: Chicken Soup - Beliefnet Partner <specialoffers@mail.beliefnet.com>
","To:  <beliefnet@cp.monitor1.returnpath.net>
","Subject: [SP] The Art of Positive Thinking
",0
20110401_citibanksingaporelimited_14456499_multialt.msg,"From: customer.service@citicorp.com
","To: citibanksingaporelimited@cp.monitor1.returnpath.net
","Subject: Citi Alerts
",0
20110401_cobaltgroup_14464029_html.msg,"From: Hometown Motors <klongfield.10162425@dealer.onstation.com>
","To: cobaltgroup@cp.monitor1.returnpath.net
","Subject: [SAMPLE] 04-719314-2011 Chevy April DAP #1
",0
20110401_corel_14460139_html.msg,"From: Corel <news@email1-corel.com>
","Subject: PREVIEW:   Save $170 and get special gift with CorelDraw Premium Suite X5
","To: corel@cp.monitor1.returnpath.net
",0
20110401_aeg_14465739_html.msg,"From: ""LA Galaxy"" <enews@events.lagalaxy.com>
","To: <aeg@cp.delivery.ncrcustomerpower.com>
","Subject: April Fool's Day Offer, Save up to 40% with no fees
",0
20110401_americancollegiatemarketing_14461959_multialt.msg,"From: <Amway@MagazineLine.com>
","To: <americancollegiatemarketing@cp.monitor1.returnpath.net>
","Subject: April 2011 TPM Amway No Subs Spring Savings from MagazineLine
",0
20110401_alchemyworx_14461429_multialt.msg,"From: =?utf-8?q?Aviva?= <aviva@avivaemail.co.uk>
","To: alchemyworx@cp.assurance.returnpath.net
","Subject: (TEST-Multipart) =?utf-8?q?=5BRetention_In_Life_ezine=5Fhome=5F050411=5D_Introducing_Your_?=
",0
